,Adult Occupant,Belt Pretensioner-Rear,Safety Assist,Child Occupant,Class,Side Pelvis Airbag-Rear,AEB Vulnerable Road Users
0,84.0,0,81.0,89.0,4,2,0
1,87.0,0,88.0,87.0,10,2,0
2,75.0,0,69.0,84.0,12,2,0
3,84.0,0,84.0,90.0,6,2,0
4,84.0,0,85.0,89.0,4,2,0
5,90.0,0,91.0,87.0,4,2,0
6,90.0,0,84.0,91.0,1,2,0
7,93.0,0,83.0,89.0,3,2,0
8,92.0,0,84.0,90.0,10,3,0
9,83.0,0,78.0,80.0,8,2,0
10,84.0,0,81.0,89.0,4,2,0
11,87.0,0,88.0,87.0,10,2,0
12,75.0,0,69.0,84.0,12,2,0
13,84.0,0,84.0,90.0,6,2,0
14,84.0,0,85.0,89.0,4,2,0
15,90.0,0,91.0,87.0,4,2,0
16,90.0,0,84.0,91.0,1,2,0
17,93.0,0,83.0,89.0,3,2,0
18,92.0,0,84.0,90.0,10,3,0
19,83.0,0,78.0,80.0,8,2,0
20,76.0,0,65.0,84.0,8,2,0
21,84.0,0,84.0,90.0,6,2,0
22,92.0,0,90.0,87.0,3,2,0
23,77.0,0,66.0,81.0,9,2,0
24,79.0,0,67.0,86.0,2,2,0
25,89.0,0,83.0,87.0,8,2,0
26,97.0,0,90.0,87.0,2,2,0
27,86.0,0,83.0,86.0,6,2,0
28,84.0,0,82.0,87.0,4,2,0
29,85.0,0,82.0,85.0,4,2,0
30,91.0,0,95.0,87.0,1,2,0
31,86.0,0,93.0,89.0,10,2,0
32,88.0,0,87.0,83.0,3,2,0
33,96.0,0,88.0,89.0,10,2,0
34,88.0,0,91.0,87.0,10,2,0
35,94.0,0,98.0,91.0,1,2,0
36,88.0,0,91.0,87.0,10,2,0
37,85.0,0,82.0,83.0,10,1,0
38,94.0,0,93.0,87.0,10,2,0
39,88.0,0,92.0,81.0,8,2,0
40,86.0,0,92.0,89.0,10,2,0
41,91.0,0,74.0,89.0,10,2,0
42,95.0,0,81.0,91.0,1,2,0
43,80.0,0,71.0,79.0,8,2,0
44,83.0,0,70.0,83.0,10,2,0
45,83.0,0,70.0,82.0,8,2,0
46,88.0,0,82.0,87.0,8,2,0
47,82.0,0,66.0,87.0,1,2,0
48,89.0,0,88.0,87.0,10,2,0
49,91.0,0,60.0,84.0,10,2,0
50,91.0,0,79.0,84.0,10,2,0
51,88.0,0,76.0,91.0,4,0,0
52,92.0,0,93.0,83.0,8,2,0
53,97.0,0,98.0,87.0,10,2,0
54,91.0,0,94.0,87.0,4,3,0
55,87.0,0,64.0,87.0,2,2,0
56,83.0,0,85.0,85.0,10,2,0
57,93.0,0,80.0,89.0,8,2,0
58,87.0,0,72.0,86.0,10,2,0
59,91.0,0,90.0,93.0,9,2,0
60,91.0,0,90.0,93.0,9,2,0
61,78.0,0,81.0,78.0,12,1,0
62,90.0,0,87.0,86.0,2,2,0
63,93.0,0,82.0,89.0,2,3,0
64,80.0,0,66.0,82.0,8,2,0
65,76.0,0,65.0,84.0,8,2,0
66,92.0,0,89.0,89.0,10,2,0
67,90.0,0,87.0,89.0,0,2,0
68,85.0,0,65.0,86.0,8,2,0
69,85.0,0,82.0,86.0,8,2,0
70,82.0,0,78.0,75.0,10,2,0
71,82.0,0,64.0,81.0,8,2,0
72,91.0,0,91.0,87.0,10,1,0
73,85.0,0,79.0,88.0,8,2,0
74,94.0,0,70.0,80.0,12,2,0
75,94.0,0,70.0,84.0,10,2,0
76,91.0,0,95.0,90.0,4,2,0
77,76.0,0,67.0,82.0,12,2,0
78,70.0,0,39.0,69.0,12,2,1
79,84.0,0,79.0,82.0,9,2,0
80,93.0,0,85.0,89.0,10,2,0
81,91.0,0,81.0,87.0,4,2,0
82,49.0,0,32.0,56.0,12,2,1
83,76.0,0,67.0,80.0,12,2,0
84,89.0,0,88.0,87.0,1,0,0
85,89.0,0,87.0,87.0,4,1,0
86,96.0,0,80.0,91.0,1,2,0
87,80.0,0,80.0,75.0,10,2,0
88,91.0,0,95.0,91.0,10,2,0
89,78.0,2,72.0,87.0,9,2,0
90,43.0,2,14.0,52.0,12,2,2
91,84.0,0,79.0,82.0,9,2,0
92,85.0,0,71.0,81.0,8,3,0
93,92.0,0,82.0,86.0,10,2,0
94,76.0,0,67.0,82.0,10,2,0
95,88.0,0,88.0,86.0,10,2,0
96,86.0,0,70.0,87.0,10,2,0
97,86.0,0,81.0,84.0,10,2,0
98,93.0,0,80.0,89.0,4,3,0
99,96.0,0,81.0,87.0,10,2,0
100,82.0,0,92.0,84.0,4,2,0
101,88.0,0,95.0,89.0,2,2,0
102,88.0,0,82.0,85.0,1,2,0
103,73.0,0,64.0,75.0,10,2,0
104,78.0,2,72.0,87.0,9,2,0
105,80.0,0,63.0,83.0,8,2,0
106,91.0,0,91.0,87.0,1,2,0
107,91.0,0,88.0,87.0,4,1,0
108,70.0,0,42.0,72.0,8,2,1
109,70.0,0,42.0,72.0,12,2,1
110,93.0,0,85.0,89.0,10,2,0
111,94.0,0,82.0,89.0,4,2,0
112,93.0,0,80.0,88.0,10,3,0
113,93.0,0,83.0,89.0,1,2,0
114,86.0,0,85.0,81.0,8,2,0
115,91.0,0,80.0,88.0,8,3,0
116,89.0,0,73.0,81.0,8,3,0
117,76.0,0,65.0,82.0,8,2,0
118,69.0,0,59.0,75.0,12,2,0
119,84.0,0,83.0,86.0,6,2,0
120,82.0,0,87.0,85.0,5,2,0
121,85.0,0,79.0,85.0,5,2,0
122,92.0,0,80.0,88.0,8,3,0
123,87.0,0,76.0,83.0,8,2,0
124,91.0,0,73.0,87.0,8,0,0
125,87.0,0,88.0,89.0,8,2,0
126,86.0,0,85.0,81.0,8,2,0
127,95.0,0,74.0,91.0,10,2,0
128,96.0,0,75.0,90.0,10,2,0
129,97.0,0,75.0,90.0,10,2,0
130,96.0,0,72.0,80.0,2,2,0
131,97.0,0,72.0,83.0,2,2,0
132,96.0,0,74.0,83.0,10,2,0
133,73.0,2,55.0,70.0,11,2,0
134,93.0,0,73.0,87.0,4,3,0
135,94.0,0,74.0,84.0,12,2,0
136,92.0,0,76.0,81.0,10,2,0
137,90.0,0,70.0,85.0,8,2,0
138,94.0,0,73.0,85.0,10,2,0
139,81.0,0,55.0,83.0,12,2,0
140,95.0,0,78.0,89.0,8,2,0
141,81.0,0,55.0,83.0,12,2,0
142,81.0,0,55.0,83.0,12,2,0
143,94.0,0,72.0,87.0,8,2,0
144,92.0,0,72.0,86.0,4,3,0
145,92.0,0,73.0,86.0,10,2,0
146,96.0,0,73.0,87.0,2,2,0
147,82.0,0,58.0,84.0,11,2,0
148,91.0,0,68.0,84.0,10,2,0
149,93.0,0,73.0,84.0,10,2,0
150,85.0,0,73.0,83.0,1,2,0
151,96.0,0,74.0,83.0,10,2,0
152,89.0,3,62.0,78.0,3,2,0
153,97.0,0,78.0,91.0,10,2,0
154,98.0,0,94.0,81.0,4,0,0
155,89.0,3,62.0,78.0,3,2,0
156,92.0,0,79.0,88.0,2,3,0
157,87.0,0,76.0,86.0,4,0,0
158,99.0,0,77.0,86.0,10,2,0
159,92.0,0,74.0,88.0,10,2,0
160,84.0,0,69.0,86.0,12,2,0
161,83.0,0,72.0,87.0,8,2,0
162,97.0,0,76.0,87.0,2,2,0
163,80.0,0,69.0,78.0,10,2,0
164,91.0,0,71.0,86.0,12,2,0
165,95.0,0,80.0,85.0,12,2,0
166,97.0,1,76.0,87.0,7,1,0
167,96.0,0,75.0,87.0,8,2,0
168,96.0,0,75.0,91.0,8,2,0
169,96.0,0,75.0,90.0,10,3,0
170,88.0,0,74.0,85.0,8,2,0
171,96.0,0,76.0,85.0,8,2,0
172,87.0,0,63.0,86.0,10,2,0
173,96.0,0,76.0,86.0,10,2,0
174,88.0,0,68.0,85.0,8,2,0
175,88.0,0,73.0,85.0,8,2,0
176,96.0,0,75.0,90.0,9,2,0
177,91.0,0,78.0,90.0,4,2,0
178,96.0,0,94.0,86.0,2,2,0
179,97.0,0,76.0,87.0,8,3,0
180,91.0,0,76.0,85.0,4,3,0
181,96.0,0,77.0,85.0,11,2,0
182,98.0,0,73.0,87.0,8,2,0
183,96.0,0,75.0,89.0,12,2,0
184,95.0,0,77.0,84.0,8,2,0
185,93.0,0,77.0,87.0,10,2,0
186,97.0,0,80.0,86.0,9,1,0
187,87.0,0,75.0,86.0,10,2,0
188,89.0,0,82.0,86.0,10,2,0
189,94.0,0,73.0,87.0,10,2,0
190,93.0,0,76.0,83.0,4,2,0
191,90.0,0,72.0,83.0,4,2,0
192,97.0,0,79.0,84.0,5,2,0
193,91.0,0,68.0,81.0,9,2,0
194,93.0,0,76.0,85.0,1,3,0
195,95.0,0,85.0,86.0,10,3,0
196,89.0,0,75.0,86.0,4,3,0
197,45.0,2,7.0,16.0,12,2,0
198,94.0,0,76.0,88.0,4,1,0
199,91.0,0,81.0,81.0,1,2,0
200,50.0,2,32.0,69.0,4,2,0
201,96.0,0,79.0,86.0,2,2,0
202,96.0,0,76.0,84.0,2,2,0
203,96.0,0,76.0,84.0,2,2,0
204,91.0,0,68.0,81.0,9,2,0
205,94.0,0,80.0,87.0,4,2,0
206,91.0,0,77.0,87.0,2,0,0
207,95.0,0,73.0,91.0,2,2,0
208,96.0,0,75.0,91.0,8,3,0
209,91.0,0,68.0,81.0,9,2,0
210,91.0,0,68.0,81.0,9,2,0
211,93.0,0,76.0,85.0,1,3,0
212,92.0,0,75.0,79.0,9,2,0
213,73.0,0,50.0,84.0,12,2,0
214,89.0,2,81.0,86.0,4,3,0
215,85.0,0,75.0,87.0,8,2,0
216,97.0,0,76.0,87.0,10,2,0
217,93.0,0,71.0,86.0,8,2,0
218,72.0,2,25.0,56.0,8,2,0
219,86.0,0,59.0,85.0,1,2,0
220,71.0,0,37.0,66.0,10,2,0
221,69.0,2,29.0,37.0,12,2,0
222,51.0,2,0.0,43.0,8,2,0
223,76.0,2,29.0,60.0,9,2,0
224,76.0,2,29.0,60.0,9,2,0
225,87.0,0,60.0,85.0,10,2,0
226,93.0,0,72.0,85.0,10,2,0
227,93.0,0,82.0,81.0,1,2,0
228,85.0,0,25.0,84.0,8,2,0
229,93.0,0,59.0,84.0,8,2,0
230,71.0,2,29.0,51.0,8,2,0
231,61.0,0,25.0,60.0,12,2,0
232,74.0,2,25.0,63.0,12,2,0
233,82.0,2,57.0,63.0,12,2,0
234,83.0,0,57.0,80.0,12,2,0
235,93.0,0,58.0,84.0,10,2,0
236,74.0,0,25.0,78.0,8,2,0
237,91.0,0,76.0,87.0,10,2,0
238,92.0,0,88.0,75.0,8,2,0
239,86.0,0,72.0,87.0,10,2,0
240,90.0,0,77.0,87.0,6,2,0
241,95.0,0,62.0,80.0,4,2,0
242,94.0,0,68.0,89.0,8,2,0
243,94.0,0,68.0,89.0,8,2,0
244,85.0,0,60.0,82.0,9,2,0
245,97.0,0,71.0,78.0,10,2,0
246,85.0,0,57.0,84.0,9,2,0
247,95.0,0,60.0,80.0,10,2,0
248,93.0,0,58.0,79.0,10,2,0
249,98.0,0,95.0,87.0,4,2,0
250,96.0,0,59.0,85.0,12,2,0
251,96.0,0,71.0,87.0,10,2,0
252,93.0,0,72.0,85.0,10,2,0
253,87.0,0,60.0,84.0,12,2,0
254,90.0,0,59.0,83.0,10,2,0
255,79.0,0,25.0,64.0,12,2,0
256,87.0,0,47.0,64.0,12,2,0
257,85.0,0,25.0,84.0,8,2,0
258,93.0,0,59.0,84.0,8,2,0
259,95.0,0,59.0,80.0,10,2,0
260,89.0,0,53.0,79.0,2,2,0
261,82.0,0,72.0,73.0,8,2,0
262,84.0,0,60.0,87.0,10,2,0
263,90.0,0,75.0,79.0,4,2,0
264,97.0,0,60.0,84.0,4,2,0
265,72.0,2,61.0,32.0,7,2,0
266,92.0,0,88.0,67.0,8,2,0
267,88.0,0,68.0,84.0,8,2,0
268,93.0,0,69.0,85.0,2,3,0
269,95.0,0,60.0,77.0,12,2,0
270,96.0,0,82.0,85.0,1,2,0
271,90.0,0,51.0,80.0,9,2,0
272,91.0,0,49.0,79.0,12,2,0
273,91.0,0,72.0,79.0,12,2,0
274,92.0,0,54.0,77.0,4,2,0
275,83.0,0,25.0,75.0,12,2,0
276,88.0,0,44.0,75.0,12,2,0
277,91.0,0,59.0,85.0,1,2,0
278,75.0,2,25.0,46.0,9,2,0
279,93.0,0,58.0,86.0,4,3,0
280,88.0,0,58.0,83.0,12,2,0
281,66.0,2,27.0,49.0,12,2,0
282,73.0,2,29.0,61.0,12,2,0
283,90.0,0,73.0,80.0,4,2,0
284,95.0,0,78.0,77.0,10,2,0
285,72.0,2,16.0,32.0,7,2,0
286,95.0,0,93.0,80.0,1,2,0
287,95.0,0,93.0,80.0,1,2,0
288,93.0,0,60.0,86.0,10,2,0
289,85.0,2,89.0,76.0,4,2,0
290,91.0,0,82.0,80.0,8,2,0
291,82.0,2,43.0,62.0,8,2,0
292,82.0,2,43.0,62.0,8,2,0
293,79.0,0,25.0,79.0,12,2,0
294,87.0,0,60.0,79.0,12,2,0
295,82.0,2,25.0,60.0,8,2,0
296,82.0,2,57.0,60.0,8,2,0
297,95.0,0,62.0,90.0,1,1,0
298,86.0,0,58.0,85.0,10,2,0
299,83.0,0,59.0,80.0,8,2,0
300,91.0,0,81.0,80.0,8,2,0
301,90.0,0,59.0,82.0,9,2,0
302,92.0,0,68.0,83.0,8,2,0
303,85.0,0,25.0,82.0,6,2,0
304,93.0,0,63.0,82.0,6,2,0
305,98.0,0,60.0,81.0,2,2,0
306,93.0,0,60.0,84.0,11,2,0
307,96.0,0,68.0,84.0,10,3,0
308,80.0,0,25.0,73.0,12,2,0
309,85.0,0,43.0,73.0,12,2,0
310,92.0,0,85.0,82.0,2,2,0
311,84.64413274073327,0,64.88137758024442,85.4068879012221,8,2,0
312,76.08870985117264,2,55.68637996692725,66.56810016536375,9,2,0
313,91.0,0,68.37897602576129,81.63162670960216,9,2,0
314,82.0,0,73.99940348850967,73.66646782950322,8,2,0
315,76.0,0,67.0,81.7348648616522,12,2,0
316,81.80829427867639,0,56.61658855735278,81.78755858198542,10,2,0
317,80.5048279588918,0,63.75724193833769,84.00965591778359,6,2,0
318,74.69517486884996,0,25.0,77.42068760929169,8,2,0
319,91.0,0,68.0,81.0,9,2,0
320,87.0,0,63.57965574864924,86.57965574864923,5,2,0
321,70.58550679669091,0,39.072466016545484,68.48695921985458,9,2,0
322,80.08608771429844,0,56.29874463493194,84.0,11,2,0
323,76.0,0,67.0,82.0,11,2,0
324,90.68064646536644,0,68.0,84.10645117821119,9,2,0
325,61.20637018121313,0,25.0,60.047623887972264,12,2,0
326,69.93314435507585,0,60.066450691515264,75.66653168219705,12,2,0
327,84.68995698981887,0,70.37991397963773,86.0,11,2,0
328,86.19188191951481,0,64.32324723219408,87.0,1,2,0
329,80.0,0,66.98758908054859,80.68321455926856,8,2,0
330,44.903190937012056,1,19.70957281103617,53.26879395800804,12,2,1
331,78.0,2,72.0,87.0,9,2,0
332,81.55198871312435,0,64.44801128687565,81.22400564343782,8,2,0
333,77.97379077994249,2,27.684139480038343,60.0,8,2,0
334,91.0,0,68.0,81.0,9,2,0
335,82.71841913716423,0,60.40790431417884,80.28158086283577,8,2,0
336,80.0,0,73.08599517877536,76.8856376785158,10,2,0
337,81.43487642085351,0,25.0,75.52170785971549,11,2,0
338,70.88948733253947,2,28.955794933015788,50.95579493301579,8,2,0
339,84.11893785857241,0,56.336687653673884,83.0,12,2,0
340,89.46877597929965,0,66.08596997412455,84.76561201035018,10,2,0
341,91.0,0,68.0,81.0,9,2,0
342,76.1246152265552,0,26.91692318229653,62.5623076132776,12,2,0
343,89.0,3,62.0,78.0,3,2,0
344,79.85595739797998,0,80.07202130101001,75.21606390303003,10,1,0
345,80.0,0,66.03211922745304,81.95717436339594,8,2,0
346,79.42553762625357,0,63.287231186873214,82.8563844065634,8,2,0
347,70.6720343206699,2,21.754517943763766,34.21327613221683,9,2,0
348,70.0,0,39.92146312105106,69.92146312105106,10,2,1
349,79.81025728662036,0,80.09487135668982,75.28461407006947,10,1,0
350,77.89226272102114,1,71.89226272102114,86.89226272102114,9,2,0
351,73.82217284479951,2,29.0,60.72594238506683,11,2,0
352,76.0,0,67.0,82.0,10,2,0
353,84.44775389193926,0,25.0,81.51489251372668,9,2,0
354,79.95828256311718,0,66.0,81.98609418770573,8,2,0
355,81.23028164188723,0,55.69084492566171,83.23028164188723,11,2,0
356,43.87419893101391,1,16.62259679304173,52.58279928734261,12,2,1
357,91.0,0,62.239421138808424,84.0,10,2,0
358,87.50477701686289,0,43.834925672287625,74.66985134457525,12,2,0
359,76.56827744736057,0,25.0,63.513655489472114,12,2,0
360,45.0683588218931,1,15.263997057823563,52.919270587508045,12,2,1
361,82.0,2,43.0,62.0,8,2,0
362,73.43509965368331,2,27.25960138526674,61.87019930736663,12,2,0
363,69.30295145688687,0,58.318359222004545,75.68164077799545,12,2,0
364,81.81681933523323,2,25.122120443177838,60.0,8,2,0
365,76.68163682247113,0,65.17040920561779,83.65918158876444,8,2,0
366,86.7458835893911,0,74.49176717878218,86.0,10,2,0
367,77.48776816867806,0,64.25611591566097,83.62805795783049,8,2,0
368,80.6485732414889,0,79.3514267585111,75.0,10,2,0
369,86.22657276456745,0,73.45314552913491,86.0,10,2,0
370,81.44687485083,0,56.340624552490006,83.44687485083,11,2,0
371,78.05915779853959,1,40.85044970829431,63.43303352780379,8,2,0
372,81.68881229721963,0,55.295205270236984,83.0,12,2,0
373,76.65345858690824,1,28.128721884122342,60.87127811587766,9,2,0
374,83.85665500154381,0,25.0,83.04721250128651,8,2,0
375,79.35898912083168,0,25.0,73.53417573264026,11,2,0
376,82.09453319720546,0,69.95273340139727,86.31757780046576,11,2,0
377,83.88279879261123,0,25.0,81.59374501549499,6,2,0
378,82.0,2,56.16801183038099,60.11885545280271,8,2,0
379,71.85832712709603,0,46.95553900558942,79.43330850838413,10,2,0
380,70.30260505025092,2,29.0,46.118235351756425,9,2,0
381,51.7737387612491,1,30.871257151932394,67.54875919534165,5,2,0
382,72.82649282932327,2,59.512312907218124,34.4794784879698,7,2,0
383,81.0,0,55.0,83.0,12,2,0
384,66.84706059490189,2,25.447055576013195,46.5999949811113,11,2,0
385,91.0,0,68.0,81.0,9,2,0
386,82.58791720461998,0,61.060413976900044,80.41208279538002,8,2,0
387,70.80083327194723,0,37.39833345610553,66.5975001841583,10,2,0
388,50.09812906827452,1,31.937554229279854,68.91971258050266,4,2,0
389,79.55064898520459,0,66.0,81.85021632840153,8,2,0
390,73.16668783182259,2,55.03704174040502,69.87035390858243,11,2,0
391,82.7716266681469,0,60.1418666592655,80.2283733318531,8,2,0
392,79.48508972690668,0,68.48508972690668,78.51491027309332,9,2,0
393,77.70960568255205,0,66.572598579362,82.0,9,2,0
394,87.94431848873619,0,64.18039811092024,85.5278407556319,10,2,0
395,76.23325000222846,0,67.58312500557116,82.58312500557116,9,2,0
396,76.74480209873047,2,28.50346526751301,60.0,8,2,0
397,76.0,0,67.0,80.42998002260038,11,2,0
398,79.98194302091571,0,69.10834187450577,78.0,10,1,0
399,81.7819860231814,0,63.8909930115907,81.2180139768186,8,2,0
400,72.62121469910437,2,25.621214699104375,56.62121469910437,8,2,0
401,85.80143741914952,0,43.801437419149515,73.80143741914952,12,2,0
402,76.98641551989867,0,25.0,77.00452816003377,9,2,0
403,75.34408109626196,0,64.78136036542065,80.46952255794456,8,2,0
404,70.19327453763388,0,60.04411522042965,75.89495590322541,11,2,0
405,75.1922844456497,2,29.0,58.54611200216948,8,2,0
406,73.0,0,60.71461658623734,73.17478699235409,10,2,0
407,70.44767903104241,0,38.10464193791518,67.65696290687278,11,2,0
408,91.0,0,68.0,81.0,9,2,0
409,76.9707766219948,0,66.0292233780052,81.0292233780052,9,2,0
410,75.37481902797526,0,68.25036194404949,83.25036194404949,11,2,0
411,76.78295592173538,0,52.36434745108461,83.52713050978308,12,2,0
412,77.91465812392597,0,25.0,80.13526806759599,8,2,0
413,85.14838163430379,0,68.71290459142405,85.71290459142405,10,2,0
414,91.0,0,69.04309145786229,84.69539430524154,10,2,0
415,85.0,0,25.0,83.80917518121068,7,2,0
416,89.0,3,62.0,78.0,3,2,0
417,91.0,0,61.08858801594169,84.0,10,2,0
418,77.24552492897689,0,66.68861876775577,82.0,9,2,0
419,76.97737736361029,2,28.348415090926476,60.0,8,2,0
420,80.48395228476006,0,63.725928427140104,83.96790456952014,6,2,0
421,90.23701862088042,1,65.71105586264125,79.85552793132062,6,2,0
422,76.09403138332256,1,25.0,66.49005230553759,12,2,0
423,78.0,2,72.0,87.0,9,2,0
424,76.0,0,67.0,81.2468496664859,10,2,0
425,70.72347159027562,2,29.0,49.06430113192937,8,2,0
426,76.0530045212681,0,39.75618428432805,64.16254381044797,9,2,0
427,66.68704644017711,2,27.45803096011808,46.25181423929153,12,2,0
428,84.64672293997926,0,25.0,80.76353028992739,7,2,0
429,50.116489358680255,0,31.348714540769855,56.372163119560085,12,2,0
430,76.57736679843106,0,65.57736679843106,81.42263320156894,8,2,0
431,77.56338612668854,0,66.56338612668854,80.43661387331146,9,2,0
432,45.46352556237089,2,20.334780017525155,57.98284779432932,9,2,1
433,70.52717081490727,0,39.364145925463674,68.83697511055641,10,2,0
434,88.05062493086793,0,73.94937506913207,86.0,10,2,0
435,76.52772356310375,0,65.52772356310375,81.47227643689625,8,2,0
436,80.74665653588305,0,74.82002279426314,74.56667933014619,9,1,0
437,79.68634208457169,0,25.0,74.88194749256982,12,2,0
438,90.46938098788098,0,68.0,81.7074920161587,8,2,0
439,70.0,0,40.743321211277625,70.74332121127763,9,2,1
440,77.68874699268113,1,71.22186748170283,86.22186748170283,9,2,0
441,82.75527980809946,0,58.51055961619891,80.36708028785081,8,2,0
442,87.0,0,63.08972800801568,86.08972800801568,9,2,0
443,82.0,2,57.0,62.38512847033392,11,2,0
444,70.23585378645123,0,43.022033074621994,71.84276414236585,8,2,0
445,66.92114203448865,0,26.973714011496217,60.49342850287405,12,2,0
446,79.24488166445508,0,25.0,79.20406805371256,11,2,0
447,81.00342765043445,0,55.01028295130334,83.00342765043445,11,2,0
